greywater_usage_liters,co2_levels_ppm,humidity_percentage,temperature_celsius,sunlight_hours_average,building_surface_area_sqm,wind_speed_kmh,wall_design,algae_type
202,637,30,29,8.9,22,7.9,3,Chlorella
535,585,52,29,10.6,36,5.4,1,Chlorella
960,634,25,13,9.2,16,14.3,3,Chlorella
370,646,66,15,6.9,31,23.9,2,Chlorella
206,607,34,16,9.1,83,11.5,1,Chlorella
171,548,51,27,5.5,62,18.2,1,Chlorella
800,465,70,14,5.8,88,18.0,1,Chlorella
120,634,30,29,10.1,88,10.0,1,Chlorella
714,329,77,12,7.0,13,18.0,3,Chlorella
221,546,42,16,10.2,32,9.2,1,Chlorella
566,405,45,31,10.4,79,7.4,0,Chlorella
314,350,53,23,10.7,97,19.0,1,Chlorella
430,380,65,16,11.2,93,7.3,0,Chlorella
558,432,53,14,6.9,93,24.9,1,Chlorella
187,584,48,31,5.9,85,8.7,1,Chlorella
472,687,23,14,8.2,42,16.9,1,Chlorella
199,437,36,32,6.3,37,13.2,1,Chlorella
971,483,54,11,8.4,17,7.5,3,Chlorella
763,629,32,30,9.4,10,5.6,3,Chlorella
230,572,60,31,9.2,46,17.5,1,Chlorella
761,639,58,15,6.4,72,21.1,2,Chlorella
408,368,34,24,4.5,31,21.8,1,Chlorella
869,333,74,30,6.9,79,14.7,1,Chlorella
443,561,48,19,4.3,30,20.5,2,Chlorella
591,352,48,32,11.0,44,18.5,1,Chlorella
513,504,30,33,6.1,88,19.5,1,Chlorella
905,425,71,16,4.4,14,14.9,3,Chlorella
485,534,51,14,3.2,69,17.7,1,Chlorella
291,342,21,10,8.8,55,21.1,1,Ulva
376,539,66,22,8.7,59,13.0,1,Chlorella
260,670,33,30,6.1,57,21.1,2,Chlorella
559,410,39,27,3.6,15,16.8,3,Chlorella
413,548,41,22,6.7,98,8.3,1,Chlorella
121,450,30,30,5.8,65,5.5,1,Chlorella
352,482,46,30,9.1,68,12.3,1,Chlorella
847,635,22,27,8.5,38,15.9,1,Chlorella
956,394,36,14,6.3,80,21.8,1,Ulva
660,673,63,22,5.0,86,7.5,1,Chlorella
574,699,75,13,11.9,27,21.0,2,Chlorella
158,307,47,26,7.1,11,22.3,3,Chlorella
610,687,48,12,9.2,17,8.0,3,Chlorella
781,659,40,26,4.3,84,22.0,2,Chlorella
575,687,66,20,7.4,63,24.8,2,Chlorella
