Algae Type,Algae Amount (kg),Wall Size (m²),Temperature (°C),Sunlight Hours,Optimal Panel Type,Algae Type Encoded,Optimal Panel Type Encoded
Scenedesmus,50.36727407049048,63.8792635777333,38.76785766024791,9.85595153449124,Tubular,3,1
Chlorella,39.269376176321934,87.95585311974416,18.899863008405067,4.464668897345596,Vertical Column,1,4
Scenedesmus,11.105276142957116,15.077042112439024,18.57167044804852,9.207107783590825,V-Shaped,3,5
Scenedesmus,31.825184556009045,99.29904033620956,38.46381772539375,4.006230126728115,V-Shaped,3,5
Haematococcus,20.03400942126949,48.87505167779042,22.60605607398844,8.198051453057904,V-Shaped,0,5
Haematococcus,5.111177812486092,14.19990968922539,28.119366506459727,7.198887773722044,V-Shaped,0,5
Scenedesmus,49.35819843434603,80.66583652537122,24.159046082342293,7.648559873736287,V-Shaped,3,5
Spirulina,74.05521736638963,52.00866039231819,24.56154978167907,11.865847086454306,V-Shaped,2,5
Dunaliella,5.102842008554609,15.854643368675156,30.18862129753596,5.364192989498332,V-Shaped,4,5
Scenedesmus,30.41003297837372,44.68748522859245,38.55504389212132,8.506305742764315,V-Shaped,3,5
Chlorella,47.00336883684198,49.61372443656412,17.441802850159597,9.473864212097254,V-Shaped,1,5
Scenedesmus,31.4096767046157,91.83883618709038,27.37942275278176,4.275108168921747,Vertical Column,3,4
Scenedesmus,38.77683145070801,48.26402870421202,19.55590219470156,10.04289128254122,V-Shaped,3,5
Chlorella,36.47173730746295,85.80562971354986,29.192508195499787,4.250506339644469,V-Shaped,1,5
Scenedesmus,56.9634082548478,63.810998092997664,38.48747353910473,11.158618803421192,Tubular,3,1
Scenedesmus,23.759454305917235,44.98095607205338,16.13068222276345,6.602642646106115,V-Shaped,3,5
Chlorella,84.22145710925209,96.87297765377242,28.492303309726992,8.694009325310786,V-Shaped,1,5
Scenedesmus,33.71680978225062,82.19772826786357,28.567402078956214,5.127393799798101,Vertical Column,3,4
Haematococcus,16.82043635195389,45.53933663580128,15.390910168529848,7.387211845650957,V-Shaped,0,5
Spirulina,94.32861113549056,81.1157986478085,19.97106010222013,9.6907356219892,V-Shaped,2,5
Spirulina,16.8354458683497,20.428215357261674,16.85111629335226,6.867725828354181,Vertical Column,2,4
Haematococcus,5.224770377170391,15.720251525742128,30.58245317068895,6.6471841988211935,V-Shaped,0,5
Dunaliella,49.06011277127261,89.84914683186939,33.2401544584516,9.100459770841706,V-Shaped,4,5
Haematococcus,50.86369113371138,86.40224418394754,24.573171868844742,11.77369676311283,V-Shaped,0,5
Dunaliella,33.21287591626385,54.44160367279517,29.031929939237408,10.167737439636488,V-Shaped,4,5
Haematococcus,12.105482187792967,49.54028516791931,32.76657224214468,4.887126566494651,V-Shaped,0,5
Spirulina,41.77485214951084,38.2920382968694,15.785729642168356,9.091283290110244,V-Shaped,2,5
Scenedesmus,22.507282214418296,46.93446307320668,37.68916184815232,5.994337833191,V-Shaped,3,5
Spirulina,88.5074895361889,63.89789198396824,20.076530618369237,11.542828564463848,V-Shaped,2,5
Spirulina,113.54887620099358,82.73083416079753,19.03053218135011,11.437581218740585,V-Shaped,2,5
Haematococcus,11.348188154346552,29.659639349515025,17.637356495756766,7.652276563863282,V-Shaped,0,5
Scenedesmus,54.99009402652217,82.66961396476563,37.313974962249446,8.314737935325205,V-Shaped,3,5
Scenedesmus,31.05548119174975,34.49190244461718,23.907445951924373,11.254627532366031,V-Shaped,3,5
Spirulina,110.66990716645398,87.46575249307091,25.677694715656408,10.544118127379946,V-Shaped,2,5
Spirulina,14.41064901196886,20.78788306003145,25.435275078719474,5.776862483765842,Vertical Column,2,4
Scenedesmus,12.698077163332128,29.68877976157632,21.103138056194357,5.3463283373834445,Vertical Column,3,4
Haematococcus,7.423223543543177,32.85238725409102,25.095904276451023,4.5191379768718525,V-Shaped,0,5
